

Routing table for node 3 is
Destination	Next Hop	Cost
---------------------------------------------------------------------------
    1		  1		1.00
    2		  2		1.00
    3		  3		0.00
    4		  4		1.00
    5		  5		2.00
    6		  5		3.00
    7		  5		5.00
    8		  2		7.00
    9		  2		6.00
    10		  2		6.00
    11		  11		6.00
    12		  11		7.00
    13		  5		7.00
    14		  5		9.00
    15		  11		8.00
    16		  5		8.00
    17		  5		8.00
    18		  2		10.00
    19		  11		10.00
    20		  11		11.00
    21		  2		14.00
    22		  11		14.00
    23		  11		15.00
    24		  11		13.00
    25		  11		15.00
    26		  11		12.00
    27		  11		13.00
    28		  5		12.00
    29		  5		15.00
    30		  5		14.00
    31		  5		11.00
    32		  5		12.00

Routing Table for node 19 is
Destination	Next Hop	Cost
---------------------------------------------------------------------------
    1		  11		11.00
    2		  11		10.00
    3		  11		10.00
    4		  11		11.00
    5		  11		12.00
    6		  20		12.00
    7		  11		9.00
    8		  11		5.00
    9		  11		6.00
    10		  11		5.00
    11		  11		4.00
    12		  11		5.00
    13		  20		9.00
    14		  20		5.00
    15		  20		4.00
    16		  20		6.00
    17		  20		7.00
    18		  18		1.00
    19		  19		0.00
    20		  20		1.00
    21		  18		5.00
    22		  24		4.00
    23		  24		5.00
    24		  24		3.00
    25		  20		5.00
    26		  20		2.00
    27		  20		3.00
    28		  20		6.00
    29		  20		9.00
    30		  20		9.00
    31		  20		6.00
    32		  20		7.00
Shortest distance between 3 and 19 is 10.00
Max iterations is 24 for node 2 
