

Routing table for node 3 is
Destination	Next Hop	Cost
---------------------------------------------------------------------------
    1		  1		1.00
    2		  2		1.00
    3		  3		0.00
    4		  4		1.00
    5		  5		1.00
    6		  5		2.00
    7		  5		2.00
    8		  11		2.00
    9		  2		2.00
    10		  2		2.00
    11		  11		1.00
    12		  11		2.00
    13		  11		3.00
    14		  11		2.00
    15		  11		3.00
    16		  5		2.00
    17		  5		3.00
    18		  2		3.00
    19		  11		2.00
    20		  11		3.00
    21		  11		4.00
    22		  11		4.00
    23		  11		5.00
    24		  11		3.00
    25		  11		4.00
    26		  11		3.00
    27		  11		4.00
    28		  5		4.00
    29		  11		5.00
    30		  5		5.00
    31		  5		3.00
    32		  5		4.00

Routing Table for node 19 is
Destination	Next Hop	Cost
---------------------------------------------------------------------------
    1		  11		3.00
    2		  11		3.00
    3		  11		2.00
    4		  11		3.00
    5		  11		3.00
    6		  11		4.00
    7		  11		4.00
    8		  11		2.00
    9		  11		3.00
    10		  11		2.00
    11		  11		1.00
    12		  11		2.00
    13		  11		3.00
    14		  11		2.00
    15		  20		2.00
    16		  11		3.00
    17		  11		4.00
    18		  18		1.00
    19		  19		0.00
    20		  20		1.00
    21		  18		2.00
    22		  24		2.00
    23		  24		3.00
    24		  24		1.00
    25		  24		2.00
    26		  20		2.00
    27		  24		2.00
    28		  24		3.00
    29		  24		3.00
    30		  24		4.00
    31		  20		3.00
    32		  20		4.00
Shortest distance between 3 and 19 is 2.00
Max iterations is 15 for node 3 
